id,alcoholic,IBA,category_Cocktail,category_Ordinary Drink,category_Punch / Party Drink,glass_Brandy snifter,glass_Champagne flute,glass_Cocktail glass,glass_Collins glass,glass_Copper Mug,glass_Highball glass,glass_Old-fashioned glass,glass_Pousse cafe glass,glass_Whiskey Glass,glass_Whiskey sour glass,glass_White wine glass,ingredientInName,instructionsLength,tagsCount,ingredientsCount,classic,gin
11000,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5098039215686274,1.0,0.75,1,0
11001,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5686274509803921,0.4444444444444445,0.5,1,0
11002,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.3921568627450981,0.6666666666666665,1.0,0,1
11003,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.2222222222222222,0.25,1,1
11004,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.29411764705882354,0.3333333333333333,0.5,1,0
11005,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.43137254901960786,0.3333333333333333,0.25,1,1
11006,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.13725490196078433,0.3333333333333333,0.25,1,0
11007,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9999999999999999,0.2222222222222222,0.5,1,0
11008,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0784313725490196,0.2222222222222222,1.0,1,0
11009,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.196078431372549,0.2222222222222222,0.25,1,0
11010,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.2549019607843137,0.1111111111111111,0.25,0,0
11011,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0784313725490196,0.0,0.25,0,0
11012,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.27450980392156865,0.1111111111111111,0.5,0,0
